location,time_step,demand
AUS,1,4464.84199191325
AUS,2,4124.82613042743
AUS,3,3816.90616147124
AUS,4,3526.03713542142
AUS,5,3444.79440745578
AUS,6,3536.06710183693
AUS,7,3592.23491376379
AUS,8,3893.13390622912
AUS,9,4252.20670390442
AUS,10,4612.28249822126
AUS,11,4989.40923544448
AUS,12,5039.55906752203
AUS,13,4913.18149068659
AUS,14,4783.7949239265
AUS,15,4687.50724633759
AUS,16,4799.84287019132
AUS,17,5377.56893572475
AUS,18,5679.47092483164
AUS,19,5612.27014984771
AUS,20,5298.33220104222
AUS,21,4854.00468883508
AUS,22,4436.75808594982
AUS,23,4451.80303557309
AUS,24,3994.43656702578
AUS,25,3674.48063837098
AUS,26,3424.73447462475
AUS,27,3315.40784069568
AUS,28,3232.15911944694
AUS,29,3432.75844775716
AUS,30,4131.84710691828
AUS,31,4822.91179294699
AUS,32,5581.17725395963
AUS,33,6017.48079303436
AUS,34,6276.25392655454
AUS,35,6354.48766459553
AUS,36,6283.2749030454
AUS,37,6058.60365533795
AUS,38,6062.61564190416
AUS,39,6052.58567548865
AUS,40,6219.08311798613
AUS,41,6800.82117008577
AUS,42,6991.39053198048
AUS,43,6602.22783505865
AUS,44,6009.45681990195
AUS,45,5434.73974429317
AUS,46,4858.01667540128
AUS,47,4820.90579966389
AUS,48,4277.28161994319
AUS,49,3897.14589279532
AUS,50,3521.02215221366
AUS,51,3285.31794144915
AUS,52,3165.96134110457
AUS,53,3305.37787428017
AUS,54,3697.54956112666
AUS,55,4156.92202295706
AUS,56,4850.99569891042
AUS,57,5323.40711708099
AUS,58,5586.19223716738
AUS,59,5794.81553861001
AUS,60,5721.59678377678
AUS,61,5442.76371742558
AUS,62,5333.4370834965
AUS,63,5384.58991221561
AUS,64,5599.23119350755
AUS,65,6165.92429598392
AUS,66,6282.27190640385
AUS,67,5917.18112887925
AUS,68,5436.74573757627
AUS,69,4961.32532948105
AUS,70,4565.14165606836
AUS,71,4570.15663927612
AUS,72,4121.81714050277
AUS,73,3706.57653090062
AUS,74,3339.47976009291
AUS,75,3179.00029744473
AUS,76,3060.6466937417
AUS,77,3157.93736797216
AUS,78,3403.67154515218
AUS,79,3638.37275927514
AUS,80,4178.98794907118
AUS,81,4666.44431686502
AUS,82,5046.58004401289
AUS,83,5393.61688198957
AUS,84,5493.91654614468
AUS,85,5208.06250330262
AUS,86,4973.36128917966
AUS,87,4815.89081645614
AUS,88,5003.45118842619
AUS,89,5736.64173340005
AUS,90,5945.26503484268
AUS,91,5847.97436061222
AUS,92,5551.08735471309
AUS,93,5106.75984250596
