location,time_step,demand
DEN,1,3314.63540769944
DEN,2,3235.599658154
DEN,3,3101.53901968453
DEN,4,2961.47566605971
DEN,5,2897.44670440265
DEN,6,2924.45892260172
DEN,7,3046.51413076049
DEN,8,3178.57386417818
DEN,9,3288.62364202625
DEN,10,3491.71550478224
DEN,11,3620.77388062226
DEN,12,3787.84945244615
DEN,13,3861.88293936213
DEN,14,3894.89787271655
DEN,15,3913.90647070849
DEN,16,4027.95805866013
DEN,17,4281.0725477107
DEN,18,4537.18839433894
DEN,19,4480.16260036312
DEN,20,4262.06394971876
DEN,21,4054.9702768592
DEN,22,3878.89063230228
DEN,23,3643.78428871776
DEN,24,3578.75487453481
DEN,25,3370.66074914936
DEN,26,3217.59151268795
DEN,27,3177.57341165229
DEN,28,3183.57612680764
DEN,29,3210.58834500671
DEN,30,3312.63450264765
DEN,31,3653.78881397668
DEN,32,4000.94584046106
DEN,33,4331.09517400527
DEN,34,4513.17753371754
DEN,35,4616.22414388437
DEN,36,4578.20694790049
DEN,37,4496.16984077738
DEN,38,4475.16033773366
DEN,39,4439.14404680156
DEN,40,4457.15219226761
DEN,41,4765.29157024222
DEN,42,5164.47212807295
DEN,43,5071.43004316504
DEN,44,4686.25582069678
DEN,45,4337.09788916062
DEN,46,4094.98837789486
DEN,47,3821.86483832646
DEN,48,3713.81596553017
DEN,49,3515.72636540364
DEN,50,3367.65939157169
DEN,51,3280.62002181912
DEN,52,3217.59151268795
DEN,53,3168.56933891927
DEN,54,3225.59513289509
DEN,55,3411.67930271092
DEN,56,3648.78655134722
DEN,57,3900.9005878719
DEN,58,4027.95805866013
DEN,59,4155.01552944836
DEN,60,4148.01236176712
DEN,61,4100.99109305021
DEN,62,4036.96213139315
DEN,63,3992.94222025392
DEN,64,4020.95489097889
DEN,65,4367.11146493737
DEN,66,4832.32188947695
DEN,67,4733.27708941369
DEN,68,4387.1205154552
DEN,69,4087.98521021362
DEN,70,3869.88655956926
DEN,71,3634.78021598474
DEN,72,3412.67975523681
DEN,73,3317.63676527711
DEN,74,3239.60146825757
DEN,75,3148.56028840143
DEN,76,3110.54309241755
DEN,77,3125.54988030593
DEN,78,3141.55712072019
DEN,79,3190.57929448888
DEN,80,3416.68156534038
DEN,81,3675.79876954629
DEN,82,3892.89696766476
DEN,83,4015.95262834943
DEN,84,4055.97072938509
DEN,85,4024.95670108245
DEN,86,3967.93090710663
DEN,87,3941.91914143345
DEN,88,4006.9485556164
DEN,89,4430.13997406854
DEN,90,4942.37166732503
DEN,91,4821.31691169215
DEN,92,4500.17165088095
DEN,93,4161.01824460371
DEN,94,3920.90963838973
DEN,95,3581.75623211249
DEN,96,3355.65396126099
DEN,97,3161.56617123803
DEN,98,3037.51005802747
DEN,99,2991.48924183646
DEN,100,2986.486979207
DEN,101,3048.51503581228
DEN,102,3317.63676527711
DEN,103,4018.9539859271
DEN,104,4798.30650359664
DEN,105,5061.42551790612
DEN,106,5076.4323057945
DEN,107,5139.46081492567
DEN,108,5122.45312198551
DEN,109,5023.40832192224
DEN,110,5029.41103707759
DEN,111,4974.38614815356
DEN,112,4908.35628144471
DEN,113,5183.48072606489
DEN,114,5546.64499296354
DEN,115,5282.52552612816
DEN,116,4919.36125922952
DEN,117,4562.19970748623
DEN,118,4255.06078203751
DEN,119,3879.89108482817
DEN,120,3512.72500782597
DEN,121,3268.61459150842
DEN,122,3144.55847829787
DEN,123,3098.53766210686
DEN,124,3110.54309241755
DEN,125,3192.58019954066
DEN,126,3450.69695122069
DEN,127,4165.02005470727
DEN,128,4966.38252794642
DEN,129,5232.50289983358
DEN,130,5184.48117859079
DEN,131,5250.51104529963
DEN,132,5236.50470993715
DEN,133,5150.46579271047
DEN,134,5187.48253616846
DEN,135,5124.45402703729
DEN,136,5053.42189769899
DEN,137,5274.52190592103
DEN,138,5610.6739546206
DEN,139,5350.55629788879
DEN,140,5010.40243908565
DEN,141,4643.23636208344
DEN,142,4334.09653158295
DEN,143,3977.93543236555
DEN,144,3620.77388062226
DEN,145,3373.66210672704
DEN,146,3243.60327836113
DEN,147,3171.57069649694
DEN,148,3166.56843386748
DEN,149,3237.60056320578
DEN,150,3495.71731488581
DEN,151,4212.04132342418
DEN,152,5012.40334413744
DEN,153,5246.50923519606
DEN,154,5164.47212807295
DEN,155,5153.46715028815
DEN,156,5072.43049569093
DEN,157,4954.37709763572
DEN,158,4978.38795825712
DEN,159,4885.34587334921
DEN,160,4827.31962684749
DEN,161,5123.4535745114
DEN,162,5537.64092023051
DEN,163,5317.54136453437
DEN,164,4987.39203099015
DEN,165,4634.23228935042
DEN,166,4345.10150936776
DEN,167,3991.94176772803
DEN,168,3672.79741196862
DEN,169,3453.69830879836
DEN,170,3327.64129053603
DEN,171,3298.62816728517
DEN,172,3323.63948043246
DEN,173,3419.68292291805
DEN,174,3659.79152913203
DEN,175,4272.06847497767
DEN,176,5022.40786939635
DEN,177,5290.52914633529
DEN,178,5232.50289983358
DEN,179,5269.51964329157
DEN,180,5235.50425741126
DEN,181,5157.46896039171
DEN,182,5153.46715028815
DEN,183,5044.41782496597
DEN,184,4971.38479057588
DEN,185,5194.4857038497
DEN,186,5525.63548991981
DEN,187,5286.52733623173
DEN,188,4931.36668954022
DEN,189,4604.21871357367
DEN,190,4310.08567096155
DEN,191,3977.93543236555
DEN,192,3652.78836145079
DEN,193,3453.69830879836
DEN,194,3334.64445821727
DEN,195,3293.62590465571
DEN,196,3288.62364202625
DEN,197,3330.6426481137
DEN,198,3578.75487453481
DEN,199,4316.0883861169
DEN,200,5142.46217250334
DEN,201,5378.56896861375
DEN,202,5345.55403525933
DEN,203,5395.57666155391
DEN,204,5286.52733623173
DEN,205,5121.45266945962
DEN,206,5039.41556233651
DEN,207,4887.34677840099
DEN,208,4850.330034943
DEN,209,5085.43637852752
DEN,210,5418.58706964941
DEN,211,5248.51014024785
DEN,212,4840.32550968408
DEN,213,4447.1476670087
DEN,214,4165.02005470727
DEN,215,3862.88339188802
DEN,216,3558.74582401698
DEN,217,3300.62907233695
DEN,218,3107.54173483988
DEN,219,3020.50236508731
DEN,220,2987.48743173289
DEN,221,3028.50598529445
DEN,222,3167.56888639337
DEN,223,3397.67296734844
DEN,224,3754.83451909173
DEN,225,4119.99969104215
DEN,226,4343.10060431597
DEN,227,4497.17029330328
DEN,228,4495.16938825149
DEN,229,4416.13363870606
DEN,230,4309.08521843566
DEN,231,4235.05173151968
DEN,232,4284.07390528837
DEN,233,4551.19472970142
DEN,234,4979.38841078301
DEN,235,4855.33229757246
DEN,236,4476.16079025955
DEN,237,4188.03046280278
DEN,238,3951.92366669237
DEN,239,3732.82456352211
DEN,240,3544.7394886545
DEN,241,3426.68609059929
DEN,242,3301.62952486285
DEN,243,3223.5942278433
DEN,244,3211.5887975326
DEN,245,3263.61232887897
DEN,246,3311.63405012176
DEN,247,3465.70373910906
DEN,248,3763.83859182475
DEN,249,3999.94538793516
DEN,250,4200.03589311348
DEN,251,4337.09788916062
DEN,252,4354.10558210078
DEN,253,4359.10784473024
DEN,254,4404.12820839536
DEN,255,4388.12096798109
DEN,256,4409.13047102482
DEN,257,4676.25129543787
DEN,258,5140.46126745156
DEN,259,5029.41103707759
DEN,260,4719.2707540512
DEN,261,4390.12187303288
DEN,262,4136.00693145642
DEN,263,3779.84583223902
DEN,264,3561.74718159465
DEN,265,3335.64491074316
DEN,266,3260.61097130129
DEN,267,3304.63088244052
DEN,268,3331.64310063959
DEN,269,3426.68609059929
DEN,270,3699.80963016769
DEN,271,4348.10286694543
DEN,272,5079.43366337217
DEN,273,5459.60562321097
